Loading static graph/features (shared across all trials, k fixed)...
n_train=324  sigma_ref=0.00877
trial 62: hidden_dim=64 n_layers=5 lr=1.44e-03 dropout=0.015 weight_decay=1.00e-06
  trial 69  epoch 5  val_loss=0.00765  best=0.00657  bad_epochs=1
  trial 69  epoch 10  val_loss=0.00597  best=0.00536  bad_epochs=1
  trial 69  epoch 15  val_loss=0.00345  best=0.00345  bad_epochs=0
  trial 69  epoch 20  val_loss=0.00335  best=0.00292  bad_epochs=2
  trial 69  epoch 25  val_loss=0.00503  best=0.00249  bad_epochs=3
  trial 69  epoch 30  val_loss=0.00294  best=0.00214  bad_epochs=2
  trial 69  epoch 35  val_loss=0.00193  best=0.00189  bad_epochs=1
  trial 69  epoch 40  val_loss=0.00180  best=0.00180  bad_epochs=0
  trial 69  epoch 45  val_loss=0.00160  best=0.00160  bad_epochs=0
  trial 69  epoch 50  val_loss=0.00148  best=0.00148  bad_epochs=0
  trial 69  epoch 55  val_loss=0.00156  best=0.00148  bad_epochs=5
  trial 69  [internal val]  R2=0.9435  worst_rMAE=0.0479  mean_rMAE=0.0281  mean_KLw=3.6587  max_KLw=6.8211
trial 70: hidden_dim=64 n_layers=4 lr=8.77e-04 dropout=0.103 weight_decay=4.68e-06
  trial 70  epoch 0  val_loss=0.01219  best=0.01219  bad_epochs=0
  trial 70  epoch 5  val_loss=0.00763  best=0.00655  bad_epochs=1
  trial 70  epoch 10  val_loss=0.00585  best=0.00534  bad_epochs=1
  trial 70  epoch 15  val_loss=0.00348  best=0.00348  bad_epochs=0
  trial 70  epoch 20  val_loss=0.00324  best=0.00311  bad_epochs=1
  trial 70  epoch 25  val_loss=0.00606  best=0.00253  bad_epochs=3
  trial 70  epoch 30  val_loss=0.00235  best=0.00215  bad_epochs=1
  trial 70  epoch 35  val_loss=0.00191  best=0.00188  bad_epochs=1
  trial 70  epoch 40  val_loss=0.00185  best=0.00185  bad_epochs=0
  trial 70  epoch 45  val_loss=0.00171  best=0.00171  bad_epochs=0
  trial 70  epoch 50  val_loss=0.00154  best=0.00154  bad_epochs=0
  trial 70  epoch 55  val_loss=0.00157  best=0.00154  bad_epochs=5
