Loading static graph/features (shared across all trials, k fixed)...
n_train=324
trial 51: hidden_dim=64 n_layers=5 lr=6.73e-03 dropout=0.099 weight_decay=5.27e-06
  trial 52  epoch 34  val_loss=0.00177  best=0.00177  bad_epochs=0
  trial 52  epoch 35  val_loss=0.00228  best=0.00177  bad_epochs=1
  trial 52  epoch 36  val_loss=0.00221  best=0.00177  bad_epochs=2
  trial 52  epoch 37  val_loss=0.00267  best=0.00177  bad_epochs=3
  trial 52  epoch 38  val_loss=0.00227  best=0.00177  bad_epochs=4
  trial 52  epoch 39  val_loss=0.00188  best=0.00177  bad_epochs=5
  trial 52  epoch 40  val_loss=0.00216  best=0.00177  bad_epochs=6
  trial 52  epoch 41  val_loss=0.00176  best=0.00176  bad_epochs=0
  trial 52  epoch 42  val_loss=0.00229  best=0.00176  bad_epochs=1
  trial 52  epoch 43  val_loss=0.00148  best=0.00148  bad_epochs=0
  trial 52  epoch 44  val_loss=0.00154  best=0.00148  bad_epochs=1
  trial 52  epoch 45  val_loss=0.00125  best=0.00125  bad_epochs=0
  trial 52  epoch 46  val_loss=0.00178  best=0.00125  bad_epochs=1
  trial 52  epoch 47  val_loss=0.00170  best=0.00125  bad_epochs=2
  trial 52  epoch 48  val_loss=0.00138  best=0.00125  bad_epochs=3
  trial 52  epoch 49  val_loss=0.00162  best=0.00125  bad_epochs=4
  trial 52  epoch 50  val_loss=0.00124  best=0.00124  bad_epochs=0
  trial 52  epoch 51  val_loss=0.00209  best=0.00124  bad_epochs=1
  trial 52  epoch 52  val_loss=0.00159  best=0.00124  bad_epochs=2
  trial 52  epoch 53  val_loss=0.00127  best=0.00124  bad_epochs=3
  trial 52  epoch 54  val_loss=0.00179  best=0.00124  bad_epochs=4
  trial 52  epoch 55  val_loss=0.00126  best=0.00124  bad_epochs=5
  trial 52  epoch 56  val_loss=0.00126  best=0.00124  bad_epochs=6
  trial 52  epoch 57  val_loss=0.00116  best=0.00116  bad_epochs=0
  trial 52  epoch 58  val_loss=0.00159  best=0.00116  bad_epochs=1
  trial 52  epoch 59  val_loss=0.00215  best=0.00116  bad_epochs=2
trial 53: hidden_dim=64 n_layers=4 lr=1.88e-03 dropout=0.061 weight_decay=1.26e-06
  trial 53  epoch 0  val_loss=0.01130  best=0.01130  bad_epochs=0
  trial 53  epoch 1  val_loss=0.01591  best=0.01130  bad_epochs=1
  trial 53  epoch 2  val_loss=0.01103  best=0.01103  bad_epochs=0
  trial 53  epoch 3  val_loss=0.00582  best=0.00582  bad_epochs=0
  trial 53  epoch 4  val_loss=0.00511  best=0.00511  bad_epochs=0
  trial 53  epoch 5  val_loss=0.00464  best=0.00464  bad_epochs=0
  trial 53  epoch 6  val_loss=0.00598  best=0.00464  bad_epochs=1
  trial 53  epoch 7  val_loss=0.00430  best=0.00430  bad_epochs=0
  trial 53  epoch 8  val_loss=0.00445  best=0.00430  bad_epochs=1
  trial 53  epoch 9  val_loss=0.00351  best=0.00351  bad_epochs=0
  trial 53  epoch 10  val_loss=0.00527  best=0.00351  bad_epochs=1
  trial 53  epoch 11  val_loss=0.00319  best=0.00319  bad_epochs=0
  trial 53  epoch 12  val_loss=0.00392  best=0.00319  bad_epochs=1
  trial 53  epoch 13  val_loss=0.00361  best=0.00319  bad_epochs=2
  trial 53  epoch 14  val_loss=0.00254  best=0.00254  bad_epochs=0
  trial 53  epoch 15  val_loss=0.00294  best=0.00254  bad_epochs=1
  trial 53  epoch 16  val_loss=0.00250  best=0.00250  bad_epochs=0
  trial 53  epoch 17  val_loss=0.00548  best=0.00250  bad_epochs=1
  trial 53  epoch 18  val_loss=0.00255  best=0.00250  bad_epochs=2
  trial 53  epoch 19  val_loss=0.00353  best=0.00250  bad_epochs=3
  trial 53  epoch 20  val_loss=0.00230  best=0.00230  bad_epochs=0
  trial 53  epoch 21  val_loss=0.00239  best=0.00230  bad_epochs=1
  trial 53  epoch 22  val_loss=0.00221  best=0.00221  bad_epochs=0
  trial 53  epoch 23  val_loss=0.00225  best=0.00221  bad_epochs=1
  trial 53  epoch 24  val_loss=0.00257  best=0.00221  bad_epochs=2
  trial 53  epoch 25  val_loss=0.00291  best=0.00221  bad_epochs=3
  trial 53  epoch 26  val_loss=0.00206  best=0.00206  bad_epochs=0
  trial 53  epoch 27  val_loss=0.00210  best=0.00206  bad_epochs=1
  trial 53  epoch 28  val_loss=0.00225  best=0.00206  bad_epochs=2
  trial 53  epoch 29  val_loss=0.00200  best=0.00200  bad_epochs=0
  trial 53  epoch 30  val_loss=0.00572  best=0.00200  bad_epochs=1
  trial 53  epoch 31  val_loss=0.00174  best=0.00174  bad_epochs=0
  trial 53  epoch 32  val_loss=0.00252  best=0.00174  bad_epochs=1
  trial 53  epoch 33  val_loss=0.00169  best=0.00169  bad_epochs=0
  trial 53  epoch 34  val_loss=0.00152  best=0.00152  bad_epochs=0
  trial 53  epoch 35  val_loss=0.00178  best=0.00152  bad_epochs=1
  trial 53  epoch 36  val_loss=0.00253  best=0.00152  bad_epochs=2
  trial 53  epoch 37  val_loss=0.00169  best=0.00152  bad_epochs=3
  trial 53  epoch 38  val_loss=0.00177  best=0.00152  bad_epochs=4
  trial 53  epoch 39  val_loss=0.00195  best=0.00152  bad_epochs=5
  trial 53  epoch 40  val_loss=0.00163  best=0.00152  bad_epochs=6
  trial 53  epoch 41  val_loss=0.00163  best=0.00152  bad_epochs=7
  trial 53  epoch 42  val_loss=0.00175  best=0.00152  bad_epochs=8
  trial 53  epoch 43  val_loss=0.00170  best=0.00152  bad_epochs=9
  trial 53  epoch 44  val_loss=0.00159  best=0.00152  bad_epochs=10
trial 54: hidden_dim=64 n_layers=4 lr=2.12e-03 dropout=0.006 weight_decay=1.45e-06
  trial 54  epoch 0  val_loss=0.01070  best=0.01070  bad_epochs=0
  trial 54  epoch 1  val_loss=0.03262  best=0.01070  bad_epochs=1
  trial 54  epoch 2  val_loss=0.00728  best=0.00728  bad_epochs=0
  trial 54  epoch 3  val_loss=0.00620  best=0.00620  bad_epochs=0
  trial 54  epoch 4  val_loss=0.00554  best=0.00554  bad_epochs=0
  trial 54  epoch 5  val_loss=0.00481  best=0.00481  bad_epochs=0
  trial 54  epoch 6  val_loss=0.00434  best=0.00434  bad_epochs=0
  trial 54  epoch 7  val_loss=0.00423  best=0.00423  bad_epochs=0
  trial 54  epoch 8  val_loss=0.00520  best=0.00423  bad_epochs=1
  trial 54  epoch 9  val_loss=0.00587  best=0.00423  bad_epochs=2
  trial 54  epoch 10  val_loss=0.00977  best=0.00423  bad_epochs=3
  trial 54  epoch 11  val_loss=0.00355  best=0.00355  bad_epochs=0
  trial 54  epoch 12  val_loss=0.00314  best=0.00314  bad_epochs=0
  trial 54  epoch 13  val_loss=0.00366  best=0.00314  bad_epochs=1
  trial 54  epoch 14  val_loss=0.00291  best=0.00291  bad_epochs=0
  trial 54  epoch 15  val_loss=0.00294  best=0.00291  bad_epochs=1
  trial 54  epoch 16  val_loss=0.00263  best=0.00263  bad_epochs=0
  trial 54  epoch 17  val_loss=0.00688  best=0.00263  bad_epochs=1
  trial 54  epoch 18  val_loss=0.00247  best=0.00247  bad_epochs=0
  trial 54  epoch 19  val_loss=0.00285  best=0.00247  bad_epochs=1
  trial 54  epoch 20  val_loss=0.00316  best=0.00247  bad_epochs=2
  trial 54  epoch 21  val_loss=0.00286  best=0.00247  bad_epochs=3
  trial 54  epoch 22  val_loss=0.00286  best=0.00247  bad_epochs=4
